Avg Critic Score,Critic Score,Region,Vintage,Wine Name,_id
96,95,Cote de Nuits,2001,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687ce
96,95,Cote de Nuits,2002,"Domaine Armand Rousseau, Chambertin Grand Cru",6581ba4099d7fcd8bc2687cf
94,94,Cote de Beaune,2021,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d0
94,96,Cote de Beaune,2020,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d1
94,94,Cote de Beaune,2018,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d2
94,95,Cote de Beaune,2015,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d3
94,94,Cote de Beaune,2010,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d4
94,93,Cote de Beaune,2011,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d5
94,93,Cote de Beaune,2009,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d6
94,94,Cote de Beaune,2008,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d7
94,93,Cote de Beaune,2006,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d8
94,95,Cote de Beaune,2005,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687d9
94,93,Cote de Beaune,2004,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687da
94,92,Cote de Beaune,2003,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687db
94,93,Cote de Beaune,2007,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687dc
94,92,Cote de Beaune,2002,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687dd
94,91,Cote de Beaune,2001,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687de
95,95,Cote de Nuits,2021,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687df
95,96,Cote de Nuits,2020,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687e0
94,92,Cote de Beaune,2000,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687e1
95,96,Cote de Nuits,2019,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687e2
95,94,Cote de Nuits,2017,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687e3
94,94,Cote de Beaune,2017,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687e4
94,94,Cote de Beaune,2016,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687e5
94,94,Cote de Beaune,2013,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687e6
94,95,Cote de Beaune,2019,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687e7
94,94,Cote de Beaune,2014,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687e8
95,95,Cote de Nuits,2018,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687e9
94,94,Cote de Beaune,2012,"Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru",6581ba4099d7fcd8bc2687ea
95,95,Cote de Nuits,2016,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687eb
95,96,Cote de Nuits,2015,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687ec
95,95,Cote de Nuits,2013,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687ed
95,95,Cote de Nuits,2014,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687ee
95,96,Cote de Nuits,2012,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687ef
95,96,Cote de Nuits,2010,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f0
95,94,Cote de Nuits,2011,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f1
95,95,Cote de Nuits,2009,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f2
95,95,Cote de Nuits,2008,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f3
95,94,Cote de Nuits,2007,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f4
95,94,Cote de Nuits,2004,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f5
95,92,Cote de Nuits,2003,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f6
95,95,Cote de Nuits,2002,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f7
95,94,Cote de Nuits,2001,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f8
95,94,Cote de Nuits,2000,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc2687f9
95,94,Cote de Nuits,2021,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc2687fa
95,97,Cote de Nuits,2020,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc2687fb
95,95,Cote de Nuits,2019,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc2687fc
95,95,Cote de Nuits,2018,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc2687fd
95,95,Cote de Nuits,2017,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc2687fe
95,96,Cote de Nuits,2015,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc2687ff
95,95,Cote de Nuits,2014,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268800
95,95,Cote de Nuits,2012,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268801
95,94,Cote de Nuits,2013,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268802
95,94,Cote de Nuits,2011,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268803
95,95,Cote de Nuits,2009,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268804
95,95,Cote de Nuits,2010,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268805
95,95,Cote de Nuits,2008,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268806
95,94,Cote de Nuits,2007,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268807
95,93,Cote de Nuits,2006,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268808
95,89,Cote de Nuits,2004,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268809
95,92,Cote de Nuits,2003,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc26880a
95,95,Cote de Nuits,2005,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc26880b
95,95,Cote de Nuits,2006,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc26880c
95,96,Cote de Nuits,2005,"Domaine Comte Georges de Vogue, Musigny Grand Cru, Cuvee Vieilles Vignes",6581ba4099d7fcd8bc26880d
